title, link 
 t_JSON, /js/js_json.asp 
 t_AngularJS, /angular/default.asp 
 t_W3.JS, /w3js/default.asp 
 t_XML, /xml/default.asp 
 t_Sass, /sass/default.php 
 t_Icons, /icons/default.asp 
 t_RWD, /css/css_rwd_intro.asp 
 t_Graphics, /graphics/default.asp 
 t_SVG, /graphics/svg_intro.asp 
 t_Canvas, /graphics/canvas_intro.asp 
 t_RaspberryPi, /nodejs/nodejs_raspberrypi.asp 
 t_CyberSecurity, /cybersecurity/index.php 
 t_AppML, /appml/default.asp 
 t_Accessibility, /accessibility/index.php 
 t_ASP, /asp/default.asp 
 t_NumPy, /python/numpy/default.asp 
 t_Pandas, /python/pandas/default.asp 
 t_SciPy, /python/scipy/index.php 
 t_MachineLearning, /python/python_ml_getting_started.asp 
 t_ArtificialIntelligence, /ai/default.asp 
 t_Statistics, /statistics/index.php 
 t_DataScience, /datascience/default.asp 
 t_, /colors/colors_picker.asp 
 t_, /codegame/index.html 
 t_PlayGame, /codegame/index.html 
 t_HTMLExercises, /html/html_exercises.asp 
 t_CSSExercises, /css/css_exercises.asp 
 t_JSExercises, /js/js_exercises.asp 
 t_JavaScriptExercises, /js/js_exercises.asp 
 t_SQLExercises, /sql/sql_exercises.asp 
 t_PythonExercises, /python/python_exercises.asp 
 t_SQL, /sql/sql_exercises.asp 
 t_Python, /python/python_exercises.asp 
 t_PHP, /php/php_exercises.asp 
 t_jQuery, /jquery/jquery_exercises.asp 
 t_Java, /java/java_exercises.asp 
 t_C++, /cpp/cpp_exercises.asp 
 t_C#, /cs/cs_exercises.asp 
 t_SQL, /sql/sql_exercises.asp 
 t_Python, /python/python_exercises.asp 
 t_PHP, /php/php_exercises.asp 
 t_jQuery, /jquery/jquery_exercises.asp 
 t_Java, /java/java_exercises.asp 
 t_, /w3css/w3css_templates.asp 
 t_BROWSETEMPLATES, /w3css/w3css_templates.asp 
 t_Getstarted, https://courses.w3schools.com/ 
 t_LEARNHOWTO, /howto/default.asp 
 t_COURSES, https://courses.w3schools.com/ 
 t_QUIZZES, /quiztest/default.asp 
 t_EXERCISES, /html/html_exercises.asp 
 t_COURSES, https://courses.w3schools.com/ 
 t_QUIZZES, /quiztest/default.asp 
 t_EXERCISES, /html/html_exercises.asp 
 t_FORUM, /forum/default.asp 
 t_ABOUT, /about/default.asp 
 t_FORUM, /forum/default.asp 
 t_ABOUT, /about/default.asp 
 t_, https://www.linkedin.com/company/w3schools.com/ 
 t_, https://www.instagram.com/w3schools.com_official/ 
 t_, https://www.facebook.com/w3schoolscom/ 
 t_termsofuse, /about/about_copyright.asp 
 t_cookieandprivacypolicy, /about/about_privacy.asp 
 t_Copyright1999-2021, /about/about_copyright.asp 
 t_, javascript:void(0); 
 t_W3SCHOOLSSHOP, https://shop.w3schools.com/ 
